SubastaID,Ganador,EstrategiaGanadora,OfertaGanadora,NumRondas
1,Jugador 2,EstrategiaConservadora,100,2
2,Jugador 5,EstrategiaConservadora,100,1
3,Jugador 3,EstrategiaConservadora,100,1
4,Jugador 2,EstrategiaConservadora,100,2
5,Jugador 1,EstrategiaDummy,50,1
6,Jugador 2,EstrategiaConservadora,100,2
7,Jugador 1,EstrategiaConservadora,100,1
8,Jugador 3,EstrategiaConservadora,100,2
9,Jugador 1,EstrategiaConservadora,100,1
10,Jugador 3,EstrategiaConservadora,100,2
11,Jugador 1,EstrategiaAgresiva,90,1
12,Jugador 4,EstrategiaConservadora,100,1
13,Jugador 1,EstrategiaAleatoria,36,1
14,Jugador 1,EstrategiaConservadora,100,2
15,Jugador 1,EstrategiaDummy,50,1
16,Jugador 2,EstrategiaConservadora,100,1
17,Jugador 1,EstrategiaDummy,50,1
18,Jugador 1,EstrategiaAleatoria,89,1
19,Jugador 1,EstrategiaAgresiva,90,1
20,Jugador 1,EstrategiaDummy,50,1
21,Jugador 4,EstrategiaConservadora,100,1
22,Jugador 1,EstrategiaAgresiva,90,1
23,Jugador 2,EstrategiaConservadora,100,2
24,Jugador 1,EstrategiaDummy,50,1
25,Jugador 3,EstrategiaConservadora,100,2
26,Jugador 3,EstrategiaConservadora,100,1
27,Jugador 4,EstrategiaConservadora,100,1
28,Jugador 2,EstrategiaConservadora,100,1
29,Jugador 2,EstrategiaConservadora,100,1
30,Jugador 1,EstrategiaConservadora,100,2
31,Jugador 4,EstrategiaConservadora,100,2
32,Jugador 1,EstrategiaConservadora,100,2
33,Jugador 2,EstrategiaConservadora,100,2
34,Jugador 1,EstrategiaConservadora,100,2
35,Jugador 5,EstrategiaConservadora,100,1
36,Jugador 1,EstrategiaAleatoria,77,1
37,Jugador 2,EstrategiaConservadora,100,2
38,Jugador 3,EstrategiaConservadora,100,1
39,Jugador 3,EstrategiaConservadora,100,1
40,Jugador 4,EstrategiaConservadora,100,1
41,Jugador 1,EstrategiaAgresiva,90,1
42,Jugador 4,EstrategiaConservadora,100,1
43,Jugador 1,EstrategiaConservadora,100,2
44,Jugador 1,EstrategiaConservadora,100,1
45,Jugador 1,EstrategiaConservadora,100,2
46,Jugador 1,EstrategiaConservadora,100,1
47,Jugador 1,EstrategiaDummy,50,1
48,Jugador 3,EstrategiaConservadora,100,1
49,Jugador 1,EstrategiaConservadora,100,1
50,Jugador 3,EstrategiaConservadora,100,1
